Algorithm;Level;Cost;Nodes Expanded;Nodes Frontier;Processing Time (s)
bfs;levels/base/1.txt;5;93;24;0.001193271000374807
bfs;levels/base/2.txt;5;109;30;0.0008213330002035946
bfs;levels/base/3.txt;5;163;48;0.0013152020001143683
bfs;levels/base/4.txt;5;155;46;0.0013428249994831276
greedy;levels/base/1.txt;5;25;12;0.0036589629999070894
greedy;levels/base/2.txt;5;25;12;0.0024364700002479367
greedy;levels/base/3.txt;5;39;12;0.003542430999914359
greedy;levels/base/4.txt;5;39;12;0.005035442000007606
a*;levels/base/1.txt;5;25;12;0.0057222010000259615
a*;levels/base/2.txt;5;25;12;0.003482778000034159
a*;levels/base/3.txt;5;39;12;0.004563964999761083
a*;levels/base/4.txt;5;39;12;0.0050944340000569355
dfs;levels/base/1.txt;301;69522;363;0.4991593160002594
dfs;levels/base/2.txt;121;19637;150;0.1716108170003281
dfs;levels/base/3.txt;5;19;12;0.00024408399985986762
dfs;levels/base/4.txt;161;45969;196;0.3136562290001166
