Algorithm;Level;Cost;Nodes Expanded;Nodes Frontier;Processing Time (s)
a*;levels/base/1.txt;5;59;12;0.0017147219987236895
a*;levels/base/2.txt;5;63;14;0.0012389570001687389
a*;levels/base/3.txt;5;93;18;0.001826875999540789
a*;levels/base/4.txt;5;89;18;0.002111779002007097
a*;levels/blocked_diagonal/1.txt;19;4818;155;0.6676917719996709
a*;levels/blocked_diagonal/2.txt;19;4797;157;0.7354326329987089
a*;levels/blocked_diagonal/3.txt;19;4791;157;0.7338997469996684
a*;levels/blocked_diagonal/4.txt;19;4824;155;0.6713493210008892
a*;levels/diagonal/1.txt;13;1879;256;0.260443506998854
a*;levels/diagonal/2.txt;13;1863;255;0.234521358001075
a*;levels/diagonal/3.txt;13;1883;256;0.24284793499828083
a*;levels/diagonal/4.txt;13;1859;255;0.24456467100026202
a*;levels/more_space_15/1.txt;11;523;86;0.028581573998962995
a*;levels/more_space_15/2.txt;11;587;94;0.030818156999885105
a*;levels/more_space_15/3.txt;11;853;152;0.07047453399718506
a*;levels/more_space_15/4.txt;11;837;152;0.07031499599906965
a*;levels/pathway/1.txt;29;1999;73;0.09295902799931355
a*;levels/pathway/2.txt;29;1958;67;0.08989547400051379
a*;levels/pathway/3.txt;29;1977;71;0.09121083800346241
a*;levels/pathway/4.txt;29;2018;77;0.08734203200219781
a*;levels/scattered/1.txt;13;480;53;0.01808897799855913
a*;levels/scattered/2.txt;13;502;50;0.016565620997425867
a*;levels/scattered/3.txt;17;1098;105;0.052792225000303006
a*;levels/scattered/4.txt;13;532;53;0.019259762000729097
a*;levels/walls_3/1.txt;15;1545;136;0.12191817900020396
a*;levels/walls_3/2.txt;15;1573;136;0.11887922800087836
a*;levels/walls_3/3.txt;15;1731;143;0.1321464369975729
a*;levels/walls_3/4.txt;15;1714;143;0.13432356500197784
greedy;levels/base/1.txt;5;59;12;0.0023301729997911025
greedy;levels/base/2.txt;5;63;14;0.001076518001354998
greedy;levels/base/3.txt;5;93;18;0.0017006359994411469
greedy;levels/base/4.txt;5;89;18;0.0016177180004888214
greedy;levels/blocked_diagonal/1.txt;19;4818;155;0.8151136760025111
greedy;levels/blocked_diagonal/2.txt;19;4797;157;0.8659229620025144
greedy;levels/blocked_diagonal/3.txt;19;4791;157;0.8408784870007366
greedy;levels/blocked_diagonal/4.txt;19;4824;155;0.8552411089985981
greedy;levels/diagonal/1.txt;13;1879;256;0.3002781139985018
greedy;levels/diagonal/2.txt;13;1863;255;0.2974093749980966
greedy;levels/diagonal/3.txt;13;1883;256;0.28966802500144695
greedy;levels/diagonal/4.txt;13;1859;255;0.2814902569989499
greedy;levels/more_space_15/1.txt;11;523;86;0.02579771700038691
greedy;levels/more_space_15/2.txt;11;587;94;0.030579887999920174
greedy;levels/more_space_15/3.txt;11;853;152;0.07038230699981796
greedy;levels/more_space_15/4.txt;11;837;152;0.0658822350014816
greedy;levels/pathway/1.txt;29;1999;73;0.09927480899932561
greedy;levels/pathway/2.txt;29;1958;67;0.09879838899723836
greedy;levels/pathway/3.txt;29;1977;71;0.09611466600108542
greedy;levels/pathway/4.txt;29;2018;77;0.09616180299781263
greedy;levels/scattered/1.txt;13;480;53;0.016771941001934465
greedy;levels/scattered/2.txt;13;502;50;0.01595419599834713
greedy;levels/scattered/3.txt;17;1098;105;0.05926336699849344
greedy;levels/scattered/4.txt;13;532;53;0.019272677000117255
greedy;levels/walls_3/1.txt;15;1545;136;0.12193562099855626
greedy;levels/walls_3/2.txt;15;1573;136;0.12428921199898468
greedy;levels/walls_3/3.txt;15;1731;143;0.14351991600051406
greedy;levels/walls_3/4.txt;15;1714;143;0.1444115390004299
