Algorithm;Level;Cost;Nodes Expanded;Nodes Frontier;Processing Time (s)
bfs;levels/pathway/1.txt;29;2217;122;0.031466491999708524
bfs;levels/pathway/2.txt;29;2159;112;0.022782172999541217
bfs;levels/pathway/3.txt;29;2183;114;0.02280076100032602
bfs;levels/pathway/4.txt;29;2240;123;0.03937856299944542
greedy;levels/pathway/1.txt;29;583;20;0.10605859699990106
greedy;levels/pathway/2.txt;29;574;20;0.09050843400018493
greedy;levels/pathway/3.txt;29;573;18;0.08099813999979233
greedy;levels/pathway/4.txt;29;576;19;0.08683196299989504
a*;levels/pathway/1.txt;29;1375;42;0.34705256600045686
a*;levels/pathway/2.txt;29;1375;42;0.2918722179992983
a*;levels/pathway/3.txt;29;1371;41;0.31431755799985694
a*;levels/pathway/4.txt;29;1368;41;0.29452947600020707
dfs;levels/pathway/1.txt;69;57853;45;0.5686612139998033
dfs;levels/pathway/2.txt;89;27093;62;0.2448323030002939
dfs;levels/pathway/3.txt;113;16360;72;0.1988966580001943
dfs;levels/pathway/4.txt;83;75700;48;0.6467824729998028
